ticker,name,market_cap
00680K,미래에셋증권2우B,2993258755800
204320,HL만도,2962994272000
071970,HD현대마린엔진,2957954364000
139480,이마트,2936195141600
004800,효성,2924549102900
005290,동진쎄미켐,2843221518200
028670,팬오션,2833218413600
440110,파두,2830596394200
030530,원익홀딩스,2807600609350
003690,코리안리,2801526425780
051600,한전KPS,2790000000000
026960,동서,2776645000000
032820,우리기술,2765105525320
383220,F&F,2746617277500
010060,OCI홀딩스,2712784709600
083650,비에이치아이,2692160625000
081660,미스토홀딩스,2691756288000
475830,오름테라퓨틱,2688017788800
036930,주성엔지니어링,2651752808100
064760,티씨케이,2643931884000
004370,농심,2639866628000
041510,에스엠,2616863067000
336260,두산퓨얼셀,2606650294800
005440,현대지에프홀딩스,2589570439610
257720,실리콘투,2581454517600
002790,아모레퍼시픽홀딩스,2574445032000
023590,다우기술,2561883830700
030000,제일기획,2536659011250
011210,현대위아,2507386652600
067310,하나마이크론,2467812310900
001430,세아베스틸지주,2467313787200
035900,JYP Ent.,2465954944800
069960,현대백화점,2464277735700
085620,미래에셋생명,2458754865210
290650,엘앤씨바이오,2409680111000
020150,롯데에너지머티리얼즈,2382628566500
003540,대신증권,2358424430000
000155,두산우,2325940884000
097230,HJ중공업,2275442668800
178320,서진시스템,2268492187300
361610,SK아이이테크놀로지,2261413315000
282330,BGF리테일,2236537436400
112610,씨에스윈드,2222432938100
098460,고영,2210683111000
018670,SK가스,2195745450000
491000,리브스메드,2168449677900
160190,하이젠알앤엠,2159071200000
323280,태성,2152927590000
192820,코스맥스,2145057201000
483650,달바글로벌,2130299113500
099320,쎄트렉아이,2103740503800
017960,한국카본,2102292306000
069620,대웅제약,2097170075000
222800,심텍,2072493099000
375500,DL이앤씨,2066239468200
073240,금호타이어,2039548037700
445680,큐리옥스바이오시스템즈,2025276243900
006360,GS건설,2002606866000
347700,스피어,1995989965200
101490,에스앤에스텍,1994811186500
140860,파크시스템스,1990497706500
085660,차바이오텍,1981872363900
476830,알지노믹스,1978605564000
039200,오스코텍,1958818611200
462870,시프트업,1955330871000
065350,신성델타테크,1948611913200
006280,녹십자,1945808577000
000500,가온전선,1938853078000
005070,코스모신소재,1927887830800
031980,피에스케이홀딩스,1927678113000
082270,젬백스,1919828389050
008770,호텔신라,1899609056400
006040,동원산업,1896155998700
319660,피에스케이,1894423095600
007070,GS리테일,1876986466750
437730,삼현,1870746453000
003570,SNT다이내믹스,1868801571400
032350,롯데관광개발,1858694417900
043260,성호전자,1858177962600
120110,코오롱인더,1846531006100
003530,한화투자증권,1830092520750
003380,하림지주,1823451509880
232140,와이씨,1821406770000
466100,클로봇,1811930077500
298020,효성티앤씨,1808971076000
034230,파라다이스,1802832456090
090710,휴림로봇,1796636242880
458870,씨어스테크놀로지,1787155668000
161890,한국콜마,1770380775000
003240,태광산업,1748038000000
080220,제주반도체,1746251633100
089030,테크윙,1734110586000
001120,LX인터내셔널,1732572000000
030610,교보증권,1724259599930
060370,LS마린솔루션,1708210525800
348370,엔켐,1704675177600
456160,지투지바이오,1692959736000
038500,삼표시멘트,1647881992620
007340,DN오토모티브,1647080849750
020560,아시아나항공,1629386524010
397030,에이프릴바이오,1622312507000
048410,현대바이오,1613488128000
294870,HDC현대산업개발,1608138852000
007310,오뚜기,1599124170000
003090,대웅,1595997351000
035760,CJ ENM,1587670749600
195940,HK이노엔,1560976994100
281740,레이크머티리얼즈,1541381350600
012630,HDC,1523413885500
218410,RFHIC,1518647226600
388210,씨엠티엑스,1510972154400
001800,오리온홀딩스,1509754670200
078600,대주전자재료,1498521402400
388720,유일로보틱스,1486805739000
095610,테스,1463616000000
051915,LG화학우,1421659120000
007810,코리아써키트,1400710534300
096530,씨젠,1394434039800
007390,네이처셀,1391797209600
124500,아이티센글로벌,1373707998400
229640,LS에코에너지,1371994579200
036540,SFA반도체,1371598927020
204270,제이앤티씨,1365223797600
077970,STX엔진,1361019335700
131970,두산테스나,1360637555200
056080,유진로봇,1356064294800
253450,스튜디오드래곤,1351129485100
300720,한일시멘트,1339258255890
122870,와이지엔터테인먼트,1332671793700
293490,카카오게임즈,1324356937250
004000,롯데정밀화학,1313220000000
005300,롯데칠성,1308322644000
001740,SK네트웍스,1305539621800
189300,인텔리안테크,1300310886700
000815,삼성화재우,1289396160000
171090,선익시스템,1287503074000
137400,피엔티,1286406530400
185750,종근당,1280897984000
056190,에스에프에이,1280147294000
161580,필옵틱스,1277789986200
181710,NHN,1274097107100
166090,하나머티리얼즈,1261815601200
000080,하이트진로,1259599653560
115180,큐리언트,1253365917900
127120,제이에스링크,1251370763200
174900,앱클론,1249329477000
089860,롯데렌탈,1241781069600
415640,KB발해인프라,1227906390960
082640,동양생명,1218257316750
484870,엠앤씨솔루션,1217468700000
100090,SK오션플랜트,1212075702600
417200,LS머트리얼즈,1211659122690
009240,한샘,1209643899200
280360,롯데웰푸드,1199359588600
006650,대한유화,1198600000000
000670,영풍,1194952495000
328130,루닛,1191879231400
183300,코미코,1187287634000
285130,SK케미칼,1181505717800
249420,일동제약,1169033411400
066575,LG전자우,1166928856800
298050,HS효성첨단소재,1155826584000
192080,더블유게임즈,1153954006000
036830,솔브레인홀딩스,1142541052000
100790,미래에셋벤처투자,1134210935900
006120,SK디스커버리,1115549584000
195870,해성디에스,1103300000000
389470,인벤티지랩,1089656445600
213420,덕산네오룩스,1085122522300
075580,세진중공업,1080139664000
071055,한국금융지주우,1076746533800
003470,유안타증권,1075825544640
000210,DL,1072941260800
222080,씨아이에스,1069632835000
192400,쿠쿠홀딩스,1065087440750
071320,지역난방공사,1060612950400
281820,케이씨텍,1055206473000
032190,다우데이타,1055165000000
499790,GS피앤엘,1049051488900
036530,SNT홀딩스,1041818315400
